crossing_id,river_osm_id,river_name,road_osm_id,road_type,is_pedestrian,elev_m,slope_deg,slope_pct,catchment_area_km2,flow_acc_cells,stream_order,mean_precip_mm,flood_Q10,flood_Q50,ntl_500m,ntl_2km,ntl_cv_2km,pop_500m,pop_2km,pop_total_2km,travel_time_min,agri_suit_500m,agri_suit_2km,road_dens_2km,road_count_2km,rwi_2km,rwi_dist_km,dep_ratio_2km,dist_kampala_km,log_ntl_2km,log_pop_2km,log_catchment,log_flood_Q50,log_road_dens,log_travel_time,dist_kampala_km_s,elev_m_s,dep_ratio_clamped,dep_ratio_logit
XNG-00021,274091055,NA,274091062,primary,FALSE,1348.8995361328125,24.516143111295477,45.98852774154308,0.46997224571743895,1297.0853271484375,2,750.96514892578125,5.382459721257101,9.454102140919646,0,0,0,81.29043479451391,79.9668445127116,955.2926750183104,108.89932250976564,99.45279693603516,99.36400713239398,0.33201909652260453,3,-0.519,46.37995582603342,0,341.0058895280266,0,4.394039743871713,0.3852435201480795,2.3469944507537743,0.28669590874410955,4.699564696784257,1.2041112170255805,-0.6681379637811268,0.001,-6.906754778648554
XNG-00022,328182910,Oued Maoussa,280963945,secondary,FALSE,2235.417236328125,7.452679650167401,13.089681469992303,1.185944797851664,3273.111572265625,1,1248.7724609375,16.299307050028876,28.629162438245793,0,0,0,348.01670870754435,348.5838383746537,4164.608612060547,25.265629529953003,82.15018272399902,81.9595707484654,1.699834486459027,53,-0.386,120.32523063710464,0,305.85974671802126,0,5.856743413807338,0.7820481368516267,3.3887590938300822,0.9931904698198097,3.2682612225159082,0.5733370814426176,1.3027651461179257,0.001,-6.906754778648554
XNG-00023,328182910,Oued Maoussa,280963947,unclassified,FALSE,2246.395751953125,3.959357817967733,6.93085934647492,1.033919452984772,2853.533935546875,1,1236.1719970703125,14.619537074589308,25.67870526002714,0,0,0,364.8856829826755,348.5838383746537,4164.608612060547,32.11354446411133,82.12689208984375,81.9595707484654,1.808013807479328,56,-0.386,120.34521996927737,0,305.9339418143235,0,5.856743413807338,0.7099646965397836,3.283865691385138,1.0324774033449682,3.4999423969957406,0.5746686741578559,1.3271725443939226,0.001,-6.906754778648554
XNG-00024,333704164,Oued Haddad,293120344,secondary,FALSE,NA,NA,NA,0.01,NA,NA,1070.485107421875,0.4377587084351113,0.7689078519766444,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5347165817258857,2,-0.455,103.22400853422069,NA,324.3073312543279,NA,NA,0.009950330853168083,0.5703623233611104,0.4283457266794669,NA,0.9044191934224807,NA,NA,NA
XNG-00025,1289685265,NA,293941256,unclassified,FALSE,1072.880859375,1.7035024220890864,2.9749589357305988,0.17357658439362025,479.0573120117187,1,1354.7509765625,4.29536764759628,7.544662956380207,0,0,0,380.9404210666973,420.1284554672767,5026.8988037109375,67.98443603515625,94.62274932861328,94.39693232945034,0.6634750324986951,23,0.036,1.4545829763994549,0.6255441301478885,154.05671952155214,0,6.042937907017546,0.1600559956994158,2.1453068724169357,0.508908807345841,4.233880914445834,-2.1510991042394956,-1.2817817390744364,0.6255441301478885,0.5131479207106519
XNG-00026,1289685266,NA,293941256,unclassified,FALSE,1059.4873046875,1.7502925955625468,3.056590810764668,3.2021582111547007,8837.697265625,2,1301.7291259765625,34.86639303084199,61.24159920736801,0,0,0,422.0800873274675,430.26687689633934,4780.4718017578125,66.99354553222656,94.24744415283205,94.18649174616888,0.6051971183649534,6,0.164,0.7697944224592118,0.6804897259464383,155.00837696578145,0,6.066727102411913,1.4355982531073257,4.13102357374583,0.47324656422146866,4.21941278202732,-2.1340195372156017,-1.3115582439094566,0.6804897259464383,0.7560232942138354
XNG-00027,328182910,Oued Maoussa,304016059,secondary,FALSE,2203.927001953125,8.623260330879825,15.185429178435228,0.30103661448858327,830.836669921875,1,1307.38623046875,6.229119810495468,10.94123095875132,0,0,0,391.24828021372355,362.36974169913145,4329.312103271484,NA,82.87397003173828,82.38014548165458,2.010975865414983,31,-0.386,121.95916513279084,0,306.0713742579079,0,5.895420888046114,0.2631613424768447,2.4799971980233004,1.102264233995863,NA,0.577135198899181,1.232756165081829,0.001,-6.906754778648554
XNG-00028,244518796,NA,309991971,secondary,FALSE,1049,1.5664942238133348,2.735496715750811,44.50963687634274,122842.9921875,4,1306.1453857421875,238.8116497825984,419.4643056165607,0,0,0,287.5973725801374,303.00437349973384,3884.520385742187,82.16883087158203,94.84239196777344,94.85587717692056,1.0170994364184265,55,-0.322,2.308505415182661,0.4627350081779924,145.03264937454355,0,5.717042087815019,3.8179241030106215,6.041359590237036,0.7016605569232105,4.420872648688877,-2.3130557114606707,-1.3348735837142895,0.4627350081779924,-0.14933688618357455
XNG-00029,467543100,NA,332557497,tertiary,FALSE,1988.1705322265625,3.6232428592304857,6.338839627975641,0.5734294740121583,1582.618896484375,2,1559.789306640625,11.584777991350755,20.348257131876537,2.4512897729873657,0.7257097769400169,1.5405946450231858,1891.962799522045,1554.8532013056222,21236.684509277344,0.5744283199310303,86.79071807861328,87.55399131774902,0.6326546304073942,10,-0.386,100.05789808121624,0,279.5460607035331,0.5456384307476212,7.3497793566537775,0.45325761542609644,3.06097010317509,0.4902072976873221,0.45389223491514513,0.10108063385699034,0.7530871217325114,0.001,-6.906754778648554
XNG-00030,333704164,Oued Haddad,333377807,secondary,FALSE,2316.153564453125,2.137260644696653,3.732950950126079,1.1126364160389743,3070.786376953125,2,1155.443603515625,14.5634941603339,25.580267842362325,0,0,0,315.0738596118679,299.779430027283,3069.3912658691406,26.764415740966797,77.09733009338379,77.60507520039876,0.9209368012321456,6,-0.557,106.38761070256876,0,319.04455034007384,0,5.706377205519568,0.7479366538040262,3.28016913007264,0.6528129843551537,3.323755191467186,0.809967119409793,1.4822578738416199,0.001,-6.906754778648554
